\ Spectrum from CASSIS - Cornell Atlas of Spitzer/IRS Sources
\ http://cassis.astro.cornell.edu
\ please cite:
\     "Cornell Atlas of Spitzer IRS Sources", Lebouteiller, V., Barry, D.J., 
\     Spoon, H.W.W., Bernard-Salas, J., Sloan, G.C., Houck, J.R., 
\     & Weedman, D., ApJS (accepted)
\ and use the following footnote as appropriate:
\     The Cornell Atlas of Spitzer/IRS Sources (CASSIS) is a product of the 
\     Infrared Science Center at Cornell University, supported by NASA and JPL.
\ Date & time (UTC) at DCE start
\DATE_OBS = '2004-03-01T04:00:00.544'
\TELESCOP = 'Spitzer'
\INSTRUME = 'IRSX'
\ SW version used to create this FITS file
\CREATOR = 'S18.18.0'
\ ID for the set of CAL files used
\CAL_SET = 'C18.18PRE25.A'
\ Observation Template Type
\AOT_TYPE = 'IrsStare'
\ AOR Label
\AORLABEL = 'IRSS-e-dww-temp012-hi'
\ Observer Name
\OBSRVR = 'James R. Houck'
\ Observer ID of Principal Investigator
\OBSRVRID = 4
\ Proposal Cycle
\PROCYCL = 1
\ Program ID
\PROGID = 14
\ Program Category
\PROGCAT = 29
\ [days] MJD in UTC at DCE start (JD-2400000.5)
\MJD_OBS = 53065.166673
\ [deg] Commanded RA referenced to commanded FOV
\RA_RQST = 213.291291666667
\ [deg] Commanded Dec referenced to commanded FOV
\DEC_RQST = -65.3390275
\ [deg] Requested pos. angle of axis 2 (E of N)
\PA_RQST = 125.127464800424
\ [arcsec/yr] Proper Motion in RA (J2000)
\PM_RA = 0.0
\ [arcsec/yr] Proper Motion in Dec (J2000)
\PM_DEC = 0.0
\ [deg] PA at FOVID averaged over DCE
\PA_FOV = 166.592078818477
\ [km/sec] Correction to heliocentric velocity
\VHELCORR = 20.3
\ [km/sec] Correction to local standard of rest
\VLSRCORR = 15.2
\ AOR or EIR key. Astrnmy Obs Req/Instr Eng Req
\AORKEY = '9069824'
\ Campaign
\CAMPAIGN = 'IRSX002800'
\ Target Name
\OBJECT = 'Circinus'
\ Target Type
\OBJTYPE = 'TargetFixedSingle'
\ Units of image data
\BUNIT = 'Jy'
\ Defringing
\CASDF = '1'
\ This is CASSIS Hires reduction V1 based on S18.18 pipeline.  The column 3 error is
\ total (RMS + systematic) error. Column 5 and 6 provide these errors
\ independently, and Column 7 lists further uncertainty due to calibration.
|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
     9.907739          nan         nan      20        0        0
     9.915839          nan         nan      20        0        0
     9.923982          nan         nan      20        0        0
     9.932079          nan         nan      20        0        0
     9.940177          nan         nan      20        0        0
     9.948273          nan         nan      20        0        0
     9.956367          nan         nan      20        0        0
     9.964459          nan         nan      20        0        0
     9.972551          nan         nan      20        0        0
     9.980640          nan         nan      20        0        0
     9.988729          nan         nan      20        0        0
     9.996818          nan         nan      20        0        0
    10.004904     3.619635    0.125476      20        0        0
    10.012988     3.635502    0.159486      20        0        0
    10.021071     3.758339    0.123937      20        0        0
    10.029154     3.692370    0.128290      20        0        0
    10.037234     3.697239    0.158204      20        0        0
    10.045313     3.801839    0.195386      20        0        0
    10.053392     3.758482    0.152175      20        0        0
    10.061468     3.759110    0.134019      20        0        0
    10.069544     3.755414    0.172180      20        0        0
    10.077618     3.862049    0.157694      20        0        0
    10.085690     3.883687    0.152045      20        0        0
    10.093762     3.854893    0.162338      20        0        0
    10.101832     3.913491    0.186016      20        0        0
    10.109901     3.929330    0.145950      20        0        0
    10.118013     3.901905    0.144581      20        0        0
    10.126080     3.980404    0.216870      20        0        0
    10.134145     3.914206    0.158614      20        0        0
    10.142208     4.046714    0.112225      20        0        0
    10.150270     4.028180    0.162666      20        0        0
    10.158331     3.903336    0.131861      20        0        0
    10.166390     4.137859    0.138365      20        0        0
    10.174449     4.039497    0.136478      20        0        0
    10.182506     4.076638    0.137990      20        0        0
    10.190561     3.940227    0.197035      20        0        0
    10.198615     4.132642    0.049041      20        0        0
    10.206668     4.184375    0.139488      20        0        0
    10.214720     4.186400    0.096134      20        0        0
    10.222769     4.315119    0.095808      20        0        0
    10.230818     4.231936    0.050547      20        0        0
    10.238866     4.266274    0.074182      20        0        0
    10.246912     4.282497    0.073370      20        0        0
    10.254956     4.353972    0.036730      20        0        0
    10.263000     4.407259    0.040501      20        0        0
    10.271043     4.345944    0.058575      20        0        0
    10.279083     4.413562    0.043209      20        0        0
    10.287123     4.423268    0.059048      20        0        0
    10.295161     4.482624    0.063857      20        0        0
    10.303198     4.496549    0.042392      20        0        0
    10.311234     4.492099    0.036984      20        0        0
    10.319268     4.605863    0.102357      20        0        0
    10.327301     4.565961    0.065339      20        0        0
    10.335333     4.573454    0.082074      20        0        0
    10.343363     4.636027    0.095319      20        0        0
    10.351392     4.620502    0.086903      20        0        0
    10.359468     4.638177    0.084378      20        0        0
    10.367495     4.687465    0.125633      20        0        0
    10.375520     4.621029    0.079792      20        0        0
    10.383543     4.754547    0.089174      20        0        0
    10.391566     4.795951    0.089839      20        0        0
    10.399588     4.717208    0.096469      20        0        0
    10.407607     4.790285    0.091055      20        0        0
    10.415627     4.833493    0.081936      20        0        0
    10.423643     4.736662    0.087043      20        0        0
    10.431660     4.900434    0.084887      20        0        0
    10.439674     4.911476    0.139898      20        0        0
    10.447687     5.013425    0.104636      20        0        0
    10.455699     4.970284    0.091578      20        0        0
    10.463710     4.977030    0.080953      20        0        0
    10.471720     5.098279    0.123252      20        0        0
    10.479728     5.142768    0.076158      20        0        0
    10.487734     5.140643    0.091922      20        0        0
    10.495739     5.026086    0.095539      20        0        0
    10.503744          nan         nan      20        0        0
    10.511747          nan         nan      20        0        0
    10.519749          nan         nan      20        0        0
    10.527749          nan         nan      20        0        0
    10.535748          nan         nan      20        0        0
    10.543745          nan         nan      20        0        0
    10.551742          nan         nan      20        0        0
    10.559736          nan         nan      20        0        0
    10.567781          nan         nan      20        0        0
    10.575774          nan         nan      20        0        0
    10.583765          nan         nan      20        0        0
    10.591755          nan         nan      20        0        0
    10.599744          nan         nan      20        0        0
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
    10.499801          nan         nan      19        0        1
    10.508369     5.772644    0.386464      19        0        1
    10.516876     6.291396    0.284311      19        0        1
    10.525383     7.684390    0.283409      19        0        1
    10.533886     5.941010    0.182101      19        0        1
    10.542389     5.327291    0.165613      19        0        1
