\ Spectrum from CASSIS - Cornell Atlas of Spitzer/IRS Sources
\ http://cassis.astro.cornell.edu
\ please cite:
\     "Cornell Atlas of Spitzer IRS Sources", Lebouteiller, V., Barry, D.J., 
\     Spoon, H.W.W., Bernard-Salas, J., Sloan, G.C., Houck, J.R., 
\     & Weedman, D., ApJS (accepted)
\ and use the following footnote as appropriate:
\     The Cornell Atlas of Spitzer/IRS Sources (CASSIS) is a product of the 
\     Infrared Science Center at Cornell University, supported by NASA and JPL.
\ Date & time (UTC) at DCE start
\DATE_OBS = '2004-08-07T14:12:33.451'
\TELESCOP = 'Spitzer'
\INSTRUME = 'IRSX'
\ SW version used to create this FITS file
\CREATOR = 'S18.18.0'
\ ID for the set of CAL files used
\CAL_SET = 'C18.18PRE25.A'
\ Observation Template Type
\AOT_TYPE = 'IrsStare'
\ AOR Label
\AORLABEL = 'IRSS-e-dww-temp008-hi'
\ Observer Name
\OBSRVR = 'James R. Houck'
\ Observer ID of Principal Investigator
\OBSRVRID = 4
\ Proposal Cycle
\PROCYCL = 1
\ Program ID
\PROGID = 14
\ Program Category
\PROGCAT = 29
\ [days] MJD in UTC at DCE start (JD-2400000.5)
\MJD_OBS = 53224.5920538
\ [deg] Commanded RA referenced to commanded FOV
\RA_RQST = 40.669625
\ [deg] Commanded Dec referenced to commanded FOV
\DEC_RQST = -0.0132777777777708
\ [deg] Requested pos. angle of axis 2 (E of N)
\PA_RQST = 72.4227622485606
\ [arcsec/yr] Proper Motion in RA (J2000)
\PM_RA = 0.0
\ [arcsec/yr] Proper Motion in Dec (J2000)
\PM_DEC = 0.0
\ [deg] PA at FOVID averaged over DCE
\PA_FOV = 113.892273257609
\ [km/sec] Correction to heliocentric velocity
\VHELCORR = 28.1
\ [km/sec] Correction to local standard of rest
\VLSRCORR = 16.9
\ Peakup mode (none, IRS, or PCRS)
\PKUPMODE = 'IRS'
\ Peakup Accuracy (high, moderate,low)
\PKUPACCU = 'High'
\ Peakup filter (blue or red)
\PKUPFILT = 'BLUE'
\ Extended source (T/F)
\PKUPXTND = False
\ AOR or EIR key. Astrnmy Obs Req/Instr Eng Req
\AORKEY = '8770048'
\ Campaign
\CAMPAIGN = 'IRSX003600'
\ Target Name
\OBJECT = 'NGC 1068'
\ Target Type
\OBJTYPE = 'TargetFixedSingle'
\ Units of image data
\BUNIT = 'Jy'
\ Defringing
\CASDF = '1'
\ This is CASSIS Hires reduction V1 based on S18.18 pipeline.  The column 3 error is
\ total (RMS + systematic) error. Column 5 and 6 provide these errors
\ independently, and Column 7 lists further uncertainty due to calibration.
|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
     9.907739          nan         nan      20        0        0
     9.915839          nan         nan      20        0        0
     9.923982          nan         nan      20        0        0
     9.932079          nan         nan      20        0        0
     9.940177          nan         nan      20        0        0
     9.948273          nan         nan      20        0        0
     9.956367          nan         nan      20        0        0
     9.964459          nan         nan      20        0        0
     9.972551          nan         nan      20        0        0
     9.980640          nan         nan      20        0        0
     9.988729          nan         nan      20        0        0
     9.996818          nan         nan      20        0        0
    10.004904    19.843178    0.168181      20        0        0
    10.012988    19.821068    0.265018      20        0        0
    10.021071    20.061617    0.202315      20        0        0
    10.029154    19.989040    0.242804      20        0        0
    10.037234    19.857481    0.252807      20        0        0
    10.045313    20.187817    0.357508      20        0        0
    10.053392    20.036068    0.263374      20        0        0
    10.061468    20.614925    0.270522      20        0        0
    10.069544    20.017817    0.286893      20        0        0
    10.077618    20.335691    0.211414      20        0        0
    10.085690    20.412970    0.280344      20        0        0
    10.093762    20.438665    0.325779      20        0        0
    10.101832    20.455271    0.281250      20        0        0
    10.109901    20.703838    0.260588      20        0        0
    10.118013    20.741114    0.271551      20        0        0
    10.126080    20.580944    0.259784      20        0        0
    10.134145    20.780186    0.100655      20        0        0
    10.142208    21.360886    0.110045      20        0        0
    10.150270    21.138359    0.259601      20        0        0
    10.158331    20.886923    0.138558      20        0        0
    10.166390    21.511604    0.182874      20        0        0
    10.174449    21.386520    0.258575      20        0        0
    10.182506    21.428600    0.343544      20        0        0
    10.190561    20.410213    1.363828      20        0        0
    10.198615    21.548252    0.115403      20        0        0
    10.206668    21.653618    0.368596      20        0        0
    10.214720    21.700827    0.252796      20        0        0
    10.222769    22.356138    0.250228      20        0        0
    10.230818    21.722063    0.205034      20        0        0
    10.238866    21.952446    0.247530      20        0        0
    10.246912    22.057314    0.181571      20        0        0
    10.254956    22.221970    0.107933      20        0        0
    10.263000    22.448210    0.081886      20        0        0
    10.271043    22.139132    0.186335      20        0        0
    10.279083    22.452557    0.113780      20        0        0
    10.287123    22.569836    0.055955      20        0        0
    10.295161    22.416286    0.163646      20        0        0
    10.303198    22.546257    0.097052      20        0        0
    10.311234    22.616655    0.121440      20        0        0
    10.319268    22.813379    0.131924      20        0        0
    10.327301    22.676155    0.040525      20        0        0
    10.335333    22.775881    0.201794      20        0        0
    10.343363    22.914690    0.165158      20        0        0
    10.351392    22.721035    0.166105      20        0        0
    10.359468    23.100393    0.213362      20        0        0
    10.367495    23.341066    0.317636      20        0        0
    10.375520    22.740353    0.190585      20        0        0
    10.383543    23.203382    0.250616      20        0        0
    10.391566    23.226244    0.205222      20        0        0
    10.399588    22.995611    0.249022      20        0        0
    10.407607    23.174248    0.119056      20        0        0
    10.415627    23.381897    0.055174      20        0        0
    10.423643    22.969107    0.038888      20        0        0
    10.431660    23.620192    0.055247      20        0        0
    10.439674    23.329020    0.140641      20        0        0
    10.447687    23.812340    0.097612      20        0        0
    10.455699    23.560585    0.072749      20        0        0
    10.463710    23.841105    0.102333      20        0        0
    10.471720    24.142385    0.132801      20        0        0
    10.479728    24.209402    0.080938      20        0        0
    10.487734    24.364748    0.130696      20        0        0
    10.495739    24.114426    0.089446      20        0        0
    10.503744          nan         nan      20        0        0
    10.511747          nan         nan      20        0        0
    10.519749          nan         nan      20        0        0
    10.527749          nan         nan      20        0        0
    10.535748          nan         nan      20        0        0
    10.543745          nan         nan      20        0        0
    10.551742          nan         nan      20        0        0
    10.559736          nan         nan      20        0        0
    10.567781          nan         nan      20        0        0
    10.575774          nan         nan      20        0        0
    10.583765          nan         nan      20        0        0
    10.591755          nan         nan      20        0        0
    10.599744          nan         nan      20        0        0
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
