\ Spectrum from CASSIS - Cornell Atlas of Spitzer/IRS Sources
\ http://cassis.astro.cornell.edu
\ please cite:
\     "Cornell Atlas of Spitzer IRS Sources", Lebouteiller, V., Barry, D.J., 
\     Spoon, H.W.W., Bernard-Salas, J., Sloan, G.C., Houck, J.R., 
\     & Weedman, D., ApJS (accepted)
\ and use the following footnote as appropriate:
\     The Cornell Atlas of Spitzer/IRS Sources (CASSIS) is a product of the 
\     Infrared Science Center at Cornell University, supported by NASA and JPL.
\ Date & time (UTC) at DCE start
\DATE_OBS = '2006-06-28T08:48:20.254'
\TELESCOP = 'Spitzer'
\INSTRUME = 'IRSX'
\ SW version used to create this FITS file
\CREATOR = 'S18.18.0'
\ ID for the set of CAL files used
\CAL_SET = 'C18.18C25TO32.A'
\ Observation Template Type
\AOT_TYPE = 'IrsStare'
\ AOR Label
\AORLABEL = 'IRSS-0027'
\ Observer Name
\OBSRVR = 'Giovanni Fazio'
\ Observer ID of Principal Investigator
\OBSRVRID = 2
\ Proposal Cycle
\PROCYCL = 6
\ Program ID
\PROGID = 30291
\ Program Category
\PROGCAT = 29
\ [days] MJD in UTC at DCE start (JD-2400000.5)
\MJD_OBS = 53914.3669011
\ [deg] Commanded RA referenced to commanded FOV
\RA_RQST = 17.8652083333333
\ [deg] Commanded Dec referenced to commanded FOV
\DEC_RQST = -38.0834722222222
\ [deg] Requested pos. angle of axis 2 (E of N)
\PA_RQST = 52.4862494865551
\ [arcsec/yr] Proper Motion in RA (J2000)
\PM_RA = 0.0
\ [arcsec/yr] Proper Motion in Dec (J2000)
\PM_DEC = 0.0
\ [deg] PA at FOVID averaged over DCE
\PA_FOV = 93.9558180971504
\ [km/sec] Correction to heliocentric velocity
\VHELCORR = 21.5
\ [km/sec] Correction to local standard of rest
\VLSRCORR = 11.3
\ Peakup mode (none, IRS, or PCRS)
\PKUPMODE = 'IRS'
\ Peakup Accuracy (high, moderate,low)
\PKUPACCU = 'High'
\ Peakup filter (blue or red)
\PKUPFILT = 'BLUE'
\ Extended source (T/F)
\PKUPXTND = False
\ AOR or EIR key. Astrnmy Obs Req/Instr Eng Req
\AORKEY = '17957888'
\ Campaign
\CAMPAIGN = 'IRSX006800'
\ Target Name
\OBJECT = 'NGC424'
\ Target Type
\OBJTYPE = 'TargetMulti'
\ Units of image data
\BUNIT = 'Jy'
\ Defringing
\CASDF = '1'
\ This is CASSIS Hires reduction V1 based on S18.18 pipeline.  The column 3 error is
\ total (RMS + systematic) error. Column 5 and 6 provide these errors
\ independently, and Column 7 lists further uncertainty due to calibration.
|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
     9.907739          nan         nan      20        0        0
     9.915839          nan         nan      20        0        0
     9.923982          nan         nan      20        0        0
     9.932079          nan         nan      20        0        0
     9.940177          nan         nan      20        0        0
     9.948273          nan         nan      20        0        0
     9.956367          nan         nan      20        0        0
     9.964459          nan         nan      20        0        0
     9.972551          nan         nan      20        0        0
     9.980640          nan         nan      20        0        0
     9.988729          nan         nan      20        0        0
     9.996818          nan         nan      20        0        0
    10.004904     0.725715    0.009137      20        0        0
    10.012988     0.731292    0.011243      20        0        0
    10.021071     0.743000    0.011997      20        0        0
    10.029154     0.725933    0.015138      20        0        0
    10.037234     0.735970    0.010352      20        0        0
    10.045313     0.723453    0.017220      20        0        0
    10.053392     0.719254    0.015347      20        0        0
    10.061468     0.737518    0.010480      20        0        0
    10.069544     0.727875    0.011767      20        0        0
    10.077618     0.733515    0.014349      20        0        0
    10.085690     0.730819    0.016217      20        0        0
    10.093762     0.721610    0.115046      20        0        0
    10.101832     0.739516    0.011137      20        0        0
    10.109901     0.748069    0.013259      20        0        0
    10.118013     0.743924    0.011361      20        0        0
    10.126080     0.741757    0.012245      20        0        0
    10.134145     0.724334    0.007731      20        0        0
    10.142208     0.744216    0.008069      20        0        0
    10.150270     0.738158    0.006366      20        0        0
    10.158331     0.728011    0.005380      20        0        0
    10.166390     0.743137    0.010111      20        0        0
    10.174449     0.740768    0.005308      20        0        0
    10.182506     0.737062    0.009469      20        0        0
    10.190561     0.726802    0.183636      20        0        0
    10.198615     0.746974    0.006590      20        0        0
    10.206668     0.753535    0.012200      20        0        0
    10.214720     0.739600    0.009992      20        0        0
    10.222769     0.762429    0.007232      20        0        0
    10.230818     0.739369    0.009186      20        0        0
    10.238866     0.754247    0.012735      20        0        0
    10.246912     0.748538    0.010595      20        0        0
    10.254956     0.747623    0.008705      20        0        0
    10.263000     0.767064    0.011387      20        0        0
    10.271043     0.743185    0.010606      20        0        0
    10.279083     0.760186    0.008026      20        0        0
    10.287123     0.755983    0.005242      20        0        0
    10.295161     0.761126    0.009736      20        0        0
    10.303198     0.759828    0.004798      20        0        0
    10.311234     0.760436    0.008980      20        0        0
    10.319268     0.773261    0.006194      20        0        0
    10.327301     0.766395    0.006305      20        0        0
    10.335333     0.765501    0.007524      20        0        0
    10.343363     0.780713    0.012920      20        0        0
    10.351392     0.768560    0.007520      20        0        0
    10.359468     0.772124    0.007292      20        0        0
    10.367495     0.775161    0.013704      20        0        0
    10.375520     0.767661    0.009360      20        0        0
    10.383543     0.781003    0.010436      20        0        0
    10.391566     0.766303    0.006747      20        0        0
    10.399588     0.774727    0.012182      20        0        0
    10.407607     0.781014    0.008519      20        0        0
    10.415627     0.773791    0.003887      20        0        0
    10.423643     0.775014    0.004829      20        0        0
    10.431660     0.784646    0.003400      20        0        0
    10.439674     0.781990    0.007631      20        0        0
    10.447687     0.770618    0.004570      20        0        0
    10.455699     0.795869    0.005468      20        0        0
    10.463710     0.765134    0.004264      20        0        0
    10.471720     0.782241    0.009721      20        0        0
    10.479728     0.782994    0.007487      20        0        0
    10.487734     0.789211    0.005451      20        0        0
    10.495739     0.783833    0.007134      20        0        0
    10.503744          nan         nan      20        0        0
    10.511747          nan         nan      20        0        0
    10.519749          nan         nan      20        0        0
    10.527749          nan         nan      20        0        0
    10.535748          nan         nan      20        0        0
    10.543745          nan         nan      20        0        0
    10.551742          nan         nan      20        0        0
    10.559736          nan         nan      20        0        0
    10.567781          nan         nan      20        0        0
    10.575774          nan         nan      20        0        0
    10.583765          nan         nan      20        0        0
    10.591755          nan         nan      20        0        0
    10.599744          nan         nan      20        0        0
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
