\ Spectrum from CASSIS - Cornell Atlas of Spitzer/IRS Sources
\ http://cassis.astro.cornell.edu
\ please cite:
\     "Cornell Atlas of Spitzer IRS Sources", Lebouteiller, V., Barry, D.J., 
\     Spoon, H.W.W., Bernard-Salas, J., Sloan, G.C., Houck, J.R., 
\     & Weedman, D., ApJS (accepted)
\ and use the following footnote as appropriate:
\     The Cornell Atlas of Spitzer/IRS Sources (CASSIS) is a product of the 
\     Infrared Science Center at Cornell University, supported by NASA and JPL.
\ Date & time (UTC) at DCE start
\DATE_OBS = '2007-03-18T01:22:44.567'
\TELESCOP = 'Spitzer'
\INSTRUME = 'IRSX'
\ SW version used to create this FITS file
\CREATOR = 'S18.18.0'
\ ID for the set of CAL files used
\CAL_SET = 'C18.18C33TO44.A'
\ Observation Template Type
\AOT_TYPE = 'IrsStare'
\ AOR Label
\AORLABEL = 'IRSS-0049'
\ Observer Name
\OBSRVR = 'Giovanni Fazio'
\ Observer ID of Principal Investigator
\OBSRVRID = 2
\ Proposal Cycle
\PROCYCL = 6
\ Program ID
\PROGID = 30291
\ Program Category
\PROGCAT = 29
\ [days] MJD in UTC at DCE start (JD-2400000.5)
\MJD_OBS = 54177.0574603
\ [deg] Commanded RA referenced to commanded FOV
\RA_RQST = 237.103958333333
\ [deg] Commanded Dec referenced to commanded FOV
\DEC_RQST = -13.7577777777778
\ [deg] Requested pos. angle of axis 2 (E of N)
\PA_RQST = 101.876642951197
\ [arcsec/yr] Proper Motion in RA (J2000)
\PM_RA = 0.0
\ [arcsec/yr] Proper Motion in Dec (J2000)
\PM_DEC = 0.0
\ [deg] PA at FOVID averaged over DCE
\PA_FOV = 143.346706458241
\ [km/sec] Correction to heliocentric velocity
\VHELCORR = 29.6
\ [km/sec] Correction to local standard of rest
\VLSRCORR = 41.3
\ Peakup mode (none, IRS, or PCRS)
\PKUPMODE = 'IRS'
\ Peakup Accuracy (high, moderate,low)
\PKUPACCU = 'High'
\ Peakup filter (blue or red)
\PKUPFILT = 'BLUE'
\ Extended source (T/F)
\PKUPXTND = False
\ AOR or EIR key. Astrnmy Obs Req/Instr Eng Req
\AORKEY = '17962752'
\ Campaign
\CAMPAIGN = 'IRSX008000'
\ Target Name
\OBJECT = 'MCG-2-40-4'
\ Target Type
\OBJTYPE = 'TargetMulti'
\ Units of image data
\BUNIT = 'Jy'
\ Defringing
\CASDF = '1'
\ This is CASSIS Hires reduction V1 based on S18.18 pipeline.  The column 3 error is
\ total (RMS + systematic) error. Column 5 and 6 provide these errors
\ independently, and Column 7 lists further uncertainty due to calibration.
|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
     9.907739          nan         nan      20        0        0
     9.915839          nan         nan      20        0        0
     9.923982          nan         nan      20        0        0
     9.932079          nan         nan      20        0        0
     9.940177          nan         nan      20        0        0
     9.948273          nan         nan      20        0        0
     9.956367          nan         nan      20        0        0
     9.964459          nan         nan      20        0        0
     9.972551          nan         nan      20        0        0
     9.980640          nan         nan      20        0        0
     9.988729          nan         nan      20        0        0
     9.996818          nan         nan      20        0        0
    10.004904     0.249128    0.004418      20        0        0
    10.012988     0.247903    0.005476      20        0        0
    10.021071     0.249141    0.005072      20        0        0
    10.029154     0.241782    0.006586      20        0        0
    10.037234     0.242449    0.004795      20        0        0
    10.045313     0.249250    0.006947      20        0        0
    10.053392     0.244508    0.007241      20        0        0
    10.061468     0.250905    0.003980      20        0        0
    10.069544     0.236448    0.005154      20        0        0
    10.077618     0.251599    0.006340      20        0        0
    10.085690     0.248346    0.007284      20        0        0
    10.093762     0.241014    0.033766      20        0        0
    10.101832     0.248880    0.006144      20        0        0
    10.109901     0.243978    0.006530      20        0        0
    10.118013     0.241507    0.006069      20        0        0
    10.126080     0.252486    0.005564      20        0        0
    10.134145     0.244697    0.005049      20        0        0
    10.142208     0.242587    0.004978      20        0        0
    10.150270     0.244769    0.004265      20        0        0
    10.158331     0.241634    0.003111      20        0        0
    10.166390     0.247901    0.004491      20        0        0
    10.174449     0.245201    0.003786      20        0        0
    10.182506     0.246054    0.007410      20        0        0
    10.190561     0.240314    0.037289      20        0        0
    10.198615     0.249341    0.004225      20        0        0
    10.206668     0.248360    0.004717      20        0        0
    10.214720     0.247805    0.005071      20        0        0
    10.222769     0.248091    0.003801      20        0        0
    10.230818     0.241624    0.005065      20        0        0
    10.238866     0.249129    0.003044      20        0        0
    10.246912     0.258935    0.006785      20        0        0
    10.254956     0.245207    0.003450      20        0        0
    10.263000     0.255970    0.005858      20        0        0
    10.271043     0.249300    0.004965      20        0        0
    10.279083     0.254252    0.003089      20        0        0
    10.287123     0.266780    0.005488      20        0        0
    10.295161     0.253424    0.005075      20        0        0
    10.303198     0.250134    0.003009      20        0        0
    10.311234     0.250921    0.002991      20        0        0
    10.319268     0.255951    0.003143      20        0        0
    10.327301     0.254660    0.003644      20        0        0
    10.335333     0.258890    0.003295      20        0        0
    10.343363     0.257117    0.003109      20        0        0
    10.351392     0.258355    0.003238      20        0        0
    10.359468     0.265844    0.002689      20        0        0
    10.367495     0.264917    0.003913      20        0        0
    10.375520     0.260623    0.009440      20        0        0
    10.383543     0.276041    0.002647      20        0        0
    10.391566     0.266699    0.002560      20        0        0
    10.399588     0.256996    0.004686      20        0        0
    10.407607     0.263094    0.003733      20        0        0
    10.415627     0.263183    0.003400      20        0        0
    10.423643     0.263249    0.003698      20        0        0
    10.431660     0.256295    0.002900      20        0        0
    10.439674     0.260886    0.003360      20        0        0
    10.447687     0.263337    0.002738      20        0        0
    10.455699     0.283204    0.006880      20        0        0
    10.463710     0.263100    0.003100      20        0        0
    10.471720     0.271210    0.004461      20        0        0
    10.479728     0.263279    0.003089      20        0        0
    10.487734     0.270489    0.002923      20        0        0
    10.495739     0.271987    0.002424      20        0        0
    10.503744          nan         nan      20        0        0
    10.511747          nan         nan      20        0        0
    10.519749          nan         nan      20        0        0
    10.527749          nan         nan      20        0        0
    10.535748          nan         nan      20        0        0
    10.543745          nan         nan      20        0        0
    10.551742          nan         nan      20        0        0
    10.559736          nan         nan      20        0        0
    10.567781          nan         nan      20        0        0
    10.575774          nan         nan      20        0        0
    10.583765          nan         nan      20        0        0
    10.591755          nan         nan      20        0        0
    10.599744          nan         nan      20        0        0
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
