\ Spectrum from CASSIS - Cornell Atlas of Spitzer/IRS Sources
\ http://cassis.astro.cornell.edu
\ please cite:
\     "Cornell Atlas of Spitzer IRS Sources", Lebouteiller, V., Barry, D.J., 
\     Spoon, H.W.W., Bernard-Salas, J., Sloan, G.C., Houck, J.R., 
\     & Weedman, D., ApJS (accepted)
\ and use the following footnote as appropriate:
\     The Cornell Atlas of Spitzer/IRS Sources (CASSIS) is a product of the 
\     Infrared Science Center at Cornell University, supported by NASA and JPL.
\ Date & time (UTC) at DCE start
\DATE_OBS = '2005-07-05T12:52:55.064'
\TELESCOP = 'Spitzer'
\INSTRUME = 'IRSX'
\ SW version used to create this FITS file
\CREATOR = 'S18.18.0'
\ ID for the set of CAL files used
\CAL_SET = 'C18.18PRE25.A'
\ Observation Template Type
\AOT_TYPE = 'IrsStare'
\ AOR Label
\AORLABEL = '2M- NGC7674 -- short'
\ Observer Name
\OBSRVR = 'Charles Bradford'
\ Observer ID of Principal Investigator
\OBSRVRID = 464
\ Proposal Cycle
\PROCYCL = 4
\ Program ID
\PROGID = 3605
\ Program Category
\PROGCAT = 30
\ [days] MJD in UTC at DCE start (JD-2400000.5)
\MJD_OBS = 53556.5367484
\ [deg] Commanded RA referenced to commanded FOV
\RA_RQST = 351.986333333333
\ [deg] Commanded Dec referenced to commanded FOV
\DEC_RQST = 8.77902805555557
\ [deg] Requested pos. angle of axis 2 (E of N)
\PA_RQST = 64.1450594805032
\ [arcsec/yr] Proper Motion in RA (J2000)
\PM_RA = 0.0
\ [arcsec/yr] Proper Motion in Dec (J2000)
\PM_DEC = 0.0
\ [deg] PA at FOVID averaged over DCE
\PA_FOV = 105.615059360882
\ [km/sec] Correction to heliocentric velocity
\VHELCORR = 28.8
\ [km/sec] Correction to local standard of rest
\VLSRCORR = 32.8
\ Peakup mode (none, IRS, or PCRS)
\PKUPMODE = 'IRS'
\ Peakup Accuracy (high, moderate,low)
\PKUPACCU = 'Moderate'
\ Peakup filter (blue or red)
\PKUPFILT = 'BLUE'
\ Extended source (T/F)
\PKUPXTND = False
\ AOR or EIR key. Astrnmy Obs Req/Instr Eng Req
\AORKEY = '11270656'
\ Campaign
\CAMPAIGN = 'IRSX005200'
\ Target Name
\OBJECT = 'NGC7674'
\ Target Type
\OBJTYPE = 'TargetFixedSingle'
\ Units of image data
\BUNIT = 'Jy'
\ Defringing
\CASDF = '1'
\ This is CASSIS Hires reduction V1 based on S18.18 pipeline.  The column 3 error is
\ total (RMS + systematic) error. Column 5 and 6 provide these errors
\ independently, and Column 7 lists further uncertainty due to calibration.
|  wavelength |       flux |     error | order |  module |  strip |
|      double |     double |    double |   int |     int |    int |
|          um |         Jy |        Jy |       |         |        |
|         nan |        nan |       nan |       |         |        |
     9.907739          nan         nan      20        0        0
     9.915839          nan         nan      20        0        0
     9.923982          nan         nan      20        0        0
     9.932079          nan         nan      20        0        0
     9.940177          nan         nan      20        0        0
     9.948273          nan         nan      20        0        0
     9.956367          nan         nan      20        0        0
     9.964459          nan         nan      20        0        0
     9.972551          nan         nan      20        0        0
     9.980640          nan         nan      20        0        0
     9.988729          nan         nan      20        0        0
     9.996818          nan         nan      20        0        0
    10.004904     0.245126    0.003884      20        0        0
    10.012988     0.241293    0.003693      20        0        0
    10.021071     0.250287    0.004775      20        0        0
    10.029154     0.245207    0.005768      20        0        0
    10.037234     0.236657    0.002947      20        0        0
    10.045313     0.241237    0.004941      20        0        0
    10.053392     0.245333    0.005040      20        0        0
    10.061468     0.247749    0.003054      20        0        0
    10.069544     0.243633    0.003995      20        0        0
    10.077618     0.250809    0.003778      20        0        0
    10.085690     0.246476    0.003540      20        0        0
    10.093762     0.249136    0.004642      20        0        0
    10.101832     0.248720    0.003673      20        0        0
    10.109901     0.247499    0.004704      20        0        0
    10.118013     0.250608    0.003980      20        0        0
    10.126080     0.252618    0.003688      20        0        0
    10.134145     0.251186    0.002643      20        0        0
    10.142208     0.257374    0.002894      20        0        0
    10.150270     0.252612    0.002197      20        0        0
    10.158331     0.251180    0.002175      20        0        0
    10.166390     0.256820    0.003062      20        0        0
    10.174449     0.254609    0.001904      20        0        0
    10.182506     0.253209    0.002854      20        0        0
    10.190561     0.242845    0.013835      20        0        0
    10.198615     0.259057    0.002858      20        0        0
    10.206668     0.256193    0.003463      20        0        0
    10.214720     0.262102    0.003567      20        0        0
    10.222769     0.259891    0.002904      20        0        0
    10.230818     0.257180    0.002841      20        0        0
    10.238866     0.265700    0.003847      20        0        0
    10.246912     0.264783    0.003901      20        0        0
    10.254956     0.261970    0.002525      20        0        0
    10.263000     0.268168    0.002857      20        0        0
    10.271043     0.263387    0.003259      20        0        0
    10.279083     0.269282    0.002438      20        0        0
    10.287123     0.265901    0.002220      20        0        0
    10.295161     0.269653    0.003411      20        0        0
    10.303198     0.271060    0.002152      20        0        0
    10.311234     0.267935    0.002217      20        0        0
    10.319268     0.272946    0.003556      20        0        0
    10.327301     0.271788    0.002250      20        0        0
    10.335333     0.270283    0.004093      20        0        0
    10.343363     0.273272    0.004694      20        0        0
    10.351392     0.280979    0.003519      20        0        0
    10.359468     0.277707    0.003217      20        0        0
    10.367495     0.278761    0.005131      20        0        0
    10.375520     0.277868    0.004096      20        0        0
    10.383543     0.285561    0.005087      20        0        0
    10.391566     0.283007    0.003218      20        0        0
    10.399588     0.280629    0.005303      20        0        0
    10.407607     0.280209    0.003620      20        0        0
    10.415627     0.281146    0.001948      20        0        0
    10.423643     0.275889    0.002375      20        0        0
    10.431660     0.280670    0.001502      20        0        0
    10.439674     0.280813    0.002990      20        0        0
    10.447687     0.279020    0.002114      20        0        0
    10.455699     0.281793    0.002809      20        0        0
    10.463710     0.280294    0.002557      20        0        0
    10.471720     0.282232    0.003899      20        0        0
    10.479728     0.287304    0.002405      20        0        0
    10.487734     0.292973    0.002977      20        0        0
    10.495739     0.283589    0.002932      20        0        0
    10.503744          nan         nan      20        0        0
    10.511747          nan         nan      20        0        0
    10.519749          nan         nan      20        0        0
    10.527749          nan         nan      20        0        0
    10.535748          nan         nan      20        0        0
    10.543745          nan         nan      20        0        0
    10.551742          nan         nan      20        0        0
    10.559736          nan         nan      20        0        0
    10.567781          nan         nan      20        0        0
    10.575774          nan         nan      20        0        0
    10.583765          nan         nan      20        0        0
    10.591755          nan         nan      20        0        0
    10.599744          nan         nan      20        0        0
    10.406118          nan         nan      19        0        1
    10.414642          nan         nan      19        0        1
    10.423164          nan         nan      19        0        1
    10.431685          nan         nan      19        0        1
    10.440205          nan         nan      19        0        1
    10.448723          nan         nan      19        0        1
    10.457239          nan         nan      19        0        1
    10.465755          nan         nan      19        0        1
    10.474268          nan         nan      19        0        1
    10.482780          nan         nan      19        0        1
    10.491291          nan         nan      19        0        1
